0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Murder (Sec.302 IPC),,,"Culpable Homicide not
amounting to Murder
(Sec.304 IPC)",,,Causing Death by Negligence,,,,,
,,,,,,,,"Causing Death by Negligence
(Sec.304-A IPC) (Total)",,,,,
12 Karnataka 196 210 0.6 18334 21235 28.0 15890 18561 24.3,,,,,,,,,,,,,
13 Kerala 16 17 0.1 20087 21633 57.4 18052 19379 51.6,,,,,,,,,,,,,
14 Madhya Pradesh 243 244 0.6 70563 74114 86.6 65587 68836 80.5,,,,,,,,,,,,,
15 Maharashtra 329 335 0.6 42530 44136 35.0 35345 36674 29.1,,,,,,,,,,,,,
16 Manipur 0 0 0.0 166 174 5.4 8 8 0.3,,,,,,,,,,,,,
17 Meghalaya 6 6 0.4 167 185 5.2 66 75 2.1,,,,,,,,,,,,,
18 Mizoram 2 2 0.3 95 110 8.0 49 61 4.1,,,,,,,,,,,,,
19 Nagaland 1 1 0.1 44 53 2.1 19 26 0.9,,,,,,,,,,,,,
20 Odisha 3 5 0.0 8420 8756 19.3 7901 8215 18.1,,,,,,,,,,,,,
21 Punjab 54 56 0.4 5888 6044 19.8 4308 4398 14.5,,,,,,,,,,,,,
22 Rajasthan 107 108 0.3 25440 26456 33.2 24186 25028 31.6,,,,,,,,,,,,,
23 Sikkim 2 2 0.6 79 98 12.0 44 60 6.7,,,,,,,,,,,,,
24 Tamil Nadu 13 13 0.0 38284 39484 50.7 37392 38534 49.6,,,,,,,,,,,,,
25 Telangana 29 29 0.2 20178 21317 54.5 19051 20085 51.4,,,,,,,,,,,,,
26 Tripura 1 1 0.1 1686 1866 42.5 273 328 6.9,,,,,,,,,,,,,
27 Uttar Pradesh 135 135 0.1 52178 54626 23.4 40539 42596 18.2,,,,,,,,,,,,,
28 Uttarakhand 2 2 0.0 750 755 6.8 603 607 5.5,,,,,,,,,,,,,
29 West Bengal 29 29 0.1 29510 34407 30.6 11541 12719 12.0,,,,,,,,,,,,,
TOTAL STATE(S) 1600 1633 0.3 523988 557115 40.3 440550 466102 33.9,,,,,,,,,,,,,
UNION TERRITORIES:,,,,,,,,,,,,,
30 A&N Islands 1 1 0.5 83 88 21.0 49 52 12.4,,,,,,,,,,,,,
31 Chandigarh 10 10 1.9 106 106 9.1 82 82 7.0,,,,,,,,,,,,,
32 D&N Haveli 1 1 0.5 12 12 2.3 3 3 0.6,,,,,,,,,,,,,
33 Daman & Diu 0 0 0.0 18 24 4.6 11 15 2.8,,,,,,,,,,,,,
34 Delhi 116 127 1.3 5114 5278 26.1 4569 4690 23.4,,,,,,,,,,,,,
35 Lakshadweep 0 0 0.0 12 12 17.9 11 11 16.4,,,,,,,,,,,,,
36 Puducherry 0 0 0.0 743 743 50.2 726 726 49.0,,,,,,,,,,,,,
"TOTAL UT(S) 128 139 1.2 6088 6263 25.8 5451 5579 23.1
TOTAL ALL INDIA 1728 1772 0.3 530076 563378 40.1 446001 471681 33.7",,,,,,,,,,,,,
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Hurt,,,,,,,,,,,
,,Simple Hurt,,,,,,,,,,,
,,"A) Voluntarily Causing Simple Hurt
(Sec.323 r/w 341/342)",,,"B) Voluntarily causing hurt by
Dangerous weapons or means
(Sec.324 IPC)",,,"C) Voluntarily Causing hurt/Force
to deter public servant from his
duty (Sec.332/353 IPC)",,,,,
,,I,V,R,I,V,R,I,V,R,,,
1,2,57,58,59,60,61,62,63,64,65,,,
STATES:,,,,,,,,,,,,,
1 Andhra Pradesh 1793 2018 3.4 14623 15936 28.1 987 1024 1.9,,,,,,,,,,,,,
2 Arunachal Pradesh 115 116 7.7 39 39 2.6 7 7 0.5,,,,,,,,,,,,,
3 Assam 4139 4272 12.2 1750 1750 5.1 180 180 0.5,,,,,,,,,,,,,
4 Bihar 73868 77968 62.4 16460 18087 13.9 536 536 0.5,,,,,,,,,,,,,
5 Chhattisgarh 12263 13781 43.1 1409 1477 4.9 150 153 0.5,,,,,,,,,,,,,
6 Goa 26 32 1.7 170 211 11.1 60 64 3.9,,,,,,,,,,,,,
7 Gujarat 902 921 1.3 5912 6332 8.8 454 467 0.7,,,,,,,,,,,,,
